player_name,pen,yds
Jamal Adams,Defensive Pass Interference,24
Jordan Jenkins,Unnecessary Roughness,15
Brandon Shell,Illegal Use of Hands,10
Chris Hogan,Offensive Pass Interference,10
Morris Claiborne,Defensive Holding ,-1
Buster Skrine,Defensive Holding,5
Darron Lee,Illegal Use of Hands,5
Brandin Cooks,Offensive Pass Interference,10
Alan Branch,Defensive Holding,5
Malcom Brown,Defensive Holding,5
Chris Hogan,Offensive Holding ,-1
Joe Cardona,False Start,5
Xavier Coleman,Illegal Block Above the Waist,10
