player_name,pen,yds
Michael Bennett,Defensive Offside,5
Oday Aboushi,Offensive Holding,10
WAS,Illegal Substitution,5
SEA,Illegal Substitution,5
Bashaud Breeland,Defensive Pass Interference,12
Josh Norman,Horse Collar Tackle,15
Tre Madden,Offensive Pass Interference,10
Oday Aboushi,Offensive Holding,10
Richard Sherman,Defensive Pass Interference,4
Tress Way,Delay of Game,5
Tress Way,Delay of Game,5
Germain Ifedi,Offensive Holding,10
Ethan Pocic,False Start,5
Jimmy Graham,False Start,5
Jarran Reed,Roughing the Passer,14
T.J. Clemmings,Illegal Formation ,-1
SEA,Illegal Shift ,-1
Luke Willson,Offensive Pass Interference,10
Duane Brown,False Start,5
Justin Britt,Unnecessary Roughness,15
Michael Wilhoite,Illegal Block Above the Waist,10
Tedric Thompson,Illegal Blindside Block,15
Vernon Davis,Offensive Holding,10
Arie Kouandjio,False Start,5
Tyler Catalina,Illegal Block Above the Waist,10
Delano Hill,Offside on Free Kick,5
