player_name,pen,yds
Rayshawn Jenkins,Illegal Block Above the Waist,6
Trevor Williams,Offensive Holding,10
Dee Ford,Roughing the Passer,12
Bryan Witzmann,Offensive Holding,10
Russell Okung,Illegal Formation ,-1
Rayshawn Jenkins,Roughing the Kicker,15
Charcandrick West,False Start,5
Phillip Gaines,Illegal Use of Hands ,-1
Marcus Peters,Defensive Holding,5
Marcus Peters,Unsportsmanlike Conduct,13
Matt Slauson,Illegal Use of Hands,10
Travis Kelce,Offensive Holding,10
Keenan Allen,False Start,5
Philip Rivers,Delay of Game,5
Eric Fisher,Offensive Holding,10
Kenny Wiggins,False Start,5
Kevin Pierre-Louis,Offensive Holding,10
Drew Kaser,Delay of Game,5
Alex Smith,Delay of Game,5
Terrance Smith,Ineligible Downfield Kick,5
Frank Zombo,Defensive Pass Interference,21
Terrance Mitchell,Illegal Use of Hands ,-1
Phillip Gaines,Defensive Pass Interference,11
Keenan Allen,Illegal Formation ,-1
