player_name,pen,yds
Austin Seferian-Jenkins,Offensive Holding,10
Brandon Shell,False Start,5
Brian Winters,False Start,5
Shon Coleman,Illegal Use of Hands,10
Jabrill Peppers,Roughing the Passer,15
David Njoku,Offensive Holding,10
Shon Coleman,False Start,5
Darron Lee,Illegal Use of Hands,5
Jamal Adams,Illegal Use of Hands ,-1
Muhammad Wilkerson,Roughing the Passer,15
Leonard Williams,Defensive Offside ,-1
Leonard Williams,Defensive Offside,5
Muhammad Wilkerson,Leverage,15
J.C. Tretter,Offensive Holding,10
Shon Coleman,Offensive Holding,10
Rontez Miles,Unnecessary Roughness,15
