player_name,pen,yds
DeAndre Hopkins,False Start,5
Breno Giacomini,Unnecessary Roughness ,-1
Blair Brown,Offensive Holding,9
Cam Robinson,Offensive Holding ,-1
Kevin Johnson,Defensive Pass Interference,13
HOU,Illegal Formation ,-1
Marcus Gilchrist,Defensive Holding,5
Carlos Watkins,Leverage,15
Johnathan Joseph,Horse Collar Tackle,15
Jeff Allen,False Start,5
Brandon Linder,False Start,5
Jeff Allen,Illegal Use of Hands ,-1
Shane Lechler,Unsportsmanlike Conduct,15
Blake Bortles,Delay of Game,5
Jadeveon Clowney,Roughing the Passer,15
Brandon Linder,False Start,5
Jeff Allen,False Start,5
Brian Peters,Offensive Holding,9
Jeff Allen,Offensive Holding,10
Donald Payne,Offensive Holding,10
Dede Westbrook,Illegal Block Above the Waist,10
Julie'n Davenport,False Start,5
JAX,Defensive ,-1
Kyle Fuller,False Start,5
