player_name,pen,yds
Clayton Fejedelem,False Start,5
Taylor Lewan,Unnecessary Roughness,15
Adam Jones,Illegal Use of Hands ,-1
Andre Smith,Illegal Block Above the Waist,10
Logan Ryan,Defensive Pass Interference,10
DeMarco Murray,Unnecessary Roughness,15
Vontaze Burfict,Unnecessary Roughness,9
Vontaze Burfict,Disqualification,-1
TEN,Illegal Formation ,-1
Carl Lawson,Defensive Offside,5
Trey Hopkins,Clipping,15
Delanie Walker,False Start,5
William Jackson,Defensive Holding,5
Brandon Wilson,Offensive Holding,10
Josh Kline,Offensive Holding,10
Josh Shaw,Defensive Holding,5
Josh Shaw,Illegal Contact,5
Josh Shaw,Defensive Holding,5
Andy Dalton,Intentional Grounding,10
