player_name,pen,yds
Joe Thomas,False Start,5
David Njoku,Offensive Holding,10
JuJu Smith-Schuster,Offensive Holding,10
Vance McDonald,Offensive Holding,10
Sean Davis,Defensive Pass Interference,21
Ben Roethlisberger,Delay of Game,5
Ryan Shazier,Unnecessary Roughness,15
Jamie Meder,Defensive Holding,5
Darrius Heyward-Bey,Offensive Holding,8
Le'Veon Bell,Illegal Peelback,4
Jamar Taylor,Defensive Pass Interference,41
William Gay,Unnecessary Roughness,15
Artie Burns,Defensive Holding,5
T.J. Watt,Unnecessary Roughness,15
JuJu Smith-Schuster,Offensive Holding,10
J.J. Wilcox,Unnecessary Roughness,15
Maurkice Pouncey,Offensive Holding,10
