player_name,pen,yds
Kenny Vaccaro,Face Mask ,-1
Kenny Vaccaro,Defensive Holding,5
Jared Goff,Intentional Grounding,8
Troy Hill,Illegal Block Above the Waist,10
Alec Ogletree,Defensive Pass Interference,4
NOR,Illegal Shift ,-1
Terron Armstead,Offensive Holding,9
Kevin Peterson,Illegal Block Above the Waist,10
Andrew Whitworth,Offensive Holding,8
P.J. Williams,Defensive Pass Interference,48
LAR,Offensive ,-1
Mark Ingram,Chop Block ,-1
Troy Hill,Unnecessary Roughness,15
Rob Havenstein,Face Mask ,-1
Blake Countess,Unnecessary Roughness,15
Trumaine Johnson,Illegal Use of Hands ,-1
Michael Hoomanawanui,Offensive Pass Interference,10
Sterling Moore,Defensive Pass Interference,15
Andrus Peat,Offensive Holding,10
Samson Ebukam,Defensive Offside ,-1
