player_name,pen,yds
Ricardo Allen,Defensive Pass Interference,20
Darryl Roberts,Defensive Holding,5
Brian Winters,Face Mask ,-1
Kelvin Beachum,Offensive Holding,10
Andy Levitre,Illegal Block Above the Waist ,-1
Brian Poole,Offensive Holding,3
Darryl Roberts,Unnecessary Roughness,15
Kelvin Beachum,Offensive Holding ,-1
Wesley Johnson,False Start,5
Ahtyba Rubin,Roughing the Passer,15
Wes Schweitzer,Offensive Holding,10
Matt Ryan,Intentional Grounding,10
Austin Seferian-Jenkins,Offensive Pass Interference,10
Sharrod Neasman,Illegal Block Above the Waist,10
Josh McCown,False Start,5
