player_name,pen,yds
Jarvis Landry,Illegal Block Above the Waist,10
LaAdrian Waddle,False Start,5
Alterraun Verner,Defensive Holding,5
Chase Allen,Defensive Holding,5
Nate Solder,False Start,5
Malcolm Butler,Defensive Pass Interference,34
Xavien Howard,Face Mask ,-1
Bobby McCain,Disqualification,12
Cameron Wake,Neutral Zone Infraction,5
Rob Gronkowski,False Start,5
Ryan Allen,Delay of Game,5
Brandin Cooks,Illegal Block Above the Waist ,-1
Jesse Davis,Offensive Holding ,-1
Ryan Allen,Delay of Game,5
