player_name,pen,yds
Breno Giacomini,False Start,5
Trumaine Johnson,Unnecessary Roughness,15
Chris Clark,Offensive Holding,10
Jadeveon Clowney,Neutral Zone Infraction,5
Tyler Higbee,False Start,5
Nickell Robey-Coleman,Defensive Holding,5
Xavier Su'a-Filo,Offensive Holding,10
Rob Havenstein,False Start,5
Jared Goff,Intentional Grounding,10
Jadeveon Clowney,Neutral Zone Infraction,5
Alec Ogletree,Defensive Holding,5
DeAndre Hopkins,Offensive Pass Interference,10
Corey Moore,Offensive Holding,10
Samson Ebukam,Illegal Block Above the Waist,9
Nickell Robey-Coleman,Face Mask ,-1
Breno Giacomini,Offensive Holding ,-1
Lamarr Houston,Neutral Zone Infraction,5
Andrew Whitworth,Offensive Holding,10
Kayvon Webster,Defensive Pass Interference,7
