player_name,pen,yds
Chris Conte,Defensive Holding,5
Nate Solder,Offensive Holding,10
Adarius Glanton,Defensive Holding,5
Brandon Bolden,Illegal Block Above the Waist,10
Joe Cardona,False Start,5
O.J. Howard,Illegal Block Above the Waist,10
O.J. Howard,Offensive Holding,10
Deatrich Wise Jr.,Illegal Use of Hands,5
Nate Solder,Illegal Peelback,15
Ryan Smith,Unsportsmanlike Conduct,15
Deatrich Wise Jr.,Roughing the Passer,15
Cassius Marsh,Roughing the Passer,15
Nate Ebner,Offensive Holding,7
Brandin Cooks,Illegal Block Above the Waist,10
Kendell Beckwith,Illegal Contact,5
Brandon Bolden,Neutral Zone Infraction,5
Danny Amendola,Offensive Pass Interference,6
NWE,Illegal Shift,5
Evan Dietrich-Smith,Illegal Use of Hands,10
Justin Evans,Offside on Free Kick,5
Demar Dotson,False Start,5
