player_name,pen,yds
Rodney Gunter,Leverage,6
Andre Ellington,Illegal Motion ,-1
Brandon Williams,Offensive Holding ,-1
Troy Niklas,Offensive Holding,10
Evan Boehm,False Start,5
Robert Nkemdiche,Encroachment,5
Josh Bynes,Neutral Zone Infraction,5
Anthony Castonzo,Offensive Holding,10
Christopher Milton,Offensive Holding,10
Jeremy Vujnovich,False Start,5
Jack Mewhort,False Start,5
Rudy Ford,Offensive Holding,10
Jabaal Sheard,Roughing the Passer,15
Joe Haeg,False Start,5
Kenny Moore,Unnecessary Roughness,15
Jabaal Sheard,Defensive Offside ,-1
Anthony Castonzo,Offensive Holding ,-1
Quincy Wilson,Defensive ,-1
