player_name,pen,yds
Tyson Alualu,Unnecessary Roughness ,-1
David DeCastro,False Start,5
Maurice Canady,Defensive Pass Interference,10
Maurice Canady,Offensive Holding,10
Anthony Levine,Defensive Offside ,-1
Artie Burns,Defensive Offside ,-1
Sean Davis,Unnecessary Roughness,15
Artie Burns,Defensive Pass Interference,31
Antonio Brown,Unnecessary Roughness,15
C.J. Mosley,Defensive Holding ,-1
Brandon Carr,Defensive Pass Interference,9
Chuck Clark,Defensive Pass Interference,1
Sean Davis,Unnecessary Roughness,15
Patrick Ricard,Offensive Holding ,-1
Artie Burns,Defensive Pass Interference,20
Kamalei Correa,Offside on Free Kick,5
Nick Boyle,Illegal Motion ,-1
