player_name,pen,yds
Ryan Hewitt,Illegal Block Above the Waist,8
Andre Smith,False Start,5
Cody Core,Unsportsmanlike Conduct,15
Mitch Trubisky,Illegal Forward Pass,5
John Timu,Offensive Holding,10
Charles Leno,Ineligible Downfield Pass,5
Tom Compton,Illegal Block Above the Waist,10
Marcus Cooper,Offensive Holding,4
Cody Whitehair,False Start,5
Josh Sitton,Offensive Holding,10
Ryan Glasgow,Offensive Holding,7
Carlos Dunlap,Defensive Offside ,-1
Chris Smith,Roughing the Passer,15
CHI,Offensive ,-1
Kevin Minter,Defensive Pass Interference,1
KeiVarae Russell,Defensive Offside,5
Nick Kwiatkoski,Unnecessary Roughness,15
Danny Trevathan,Defensive Holding,5
