player_name,pen,yds
Lane Johnson,False Start,5
Marcus Cooper,Offensive Holding,4
Tre McBride,Illegal Block Above the Waist,10
Halapoulivaati Vaitai,Offensive Holding,10
Prince Amukamara,Defensive Holding,5
Jonathan Anderson,Illegal Block Above the Waist,8
Charles Leno,Offensive Holding,4
Brent Celek,Offensive Holding,10
Halapoulivaati Vaitai,Offensive Holding,10
Prince Amukamara,Defensive Holding,5
Mitch Trubisky,Delay of Game,5
Elijah Qualls,Encroachment,5
Destiny Vaeao,Defensive Offside,5
Vinny Curry,Defensive Offside,5
Jay Ajayi,False Start,5
Torrey Smith,False Start,5
Adam Shaheen,False Start,5
Fletcher Cox,Defensive Offside,5
Isaac Seumalo,False Start,5
Charles Leno,Offensive Holding,10
