player_name,pen,yds
Quandre Diggs,Offensive Holding,1
Marshon Lattimore,Defensive Pass Interference,10
Trey Edmunds,Offensive Holding,8
Drew Brees,Delay of Game,5
DET,Defensive Offside ,-1
Emmett Cleary,Illegal Use of Hands,6
Cameron Jordan,Defensive Offside,5
Senio Kelemete,Illegal Formation,5
Senio Kelemete,Illegal Formation,5
Akeem Spence,Defensive Offside,5
Ken Crawley,Defensive Pass Interference ,-1
Senio Kelemete,Offensive Holding,10
Jalen Reeves-Maybin,False Start,5
Josh Hill,Unnecessary Roughness,6
Michael Thomas,Offensive Holding ,-1
Jamal Agnew,Taunting,15
NOR,Illegal Formation,5
Zach Line,Offensive Holding,5
Marshon Lattimore,Defensive Offside,5
Cameron Jordan,Unsportsmanlike Conduct,15
Ken Crawley,Defensive Pass Interference,34
Graham Glasgow,Offensive Holding,9
Don Carey,Player Out of Bounds on Punt,5
