player_name,pen,yds
Mackensie Alexander,Defensive Holding,5
David Morgan,Offensive ,-1
Kayvon Webster,Defensive Holding,5
David Morgan,Face Mask ,-1
Pharoh Cooper,Illegal Shift,5
Pat Elflein,Ineligible Downfield Pass ,-1
Sammy Watkins,Offensive Pass Interference,10
Anthony Barr,Roughing the Passer,15
Kayvon Webster,Defensive Pass Interference ,-1
Kyle Rudolph,False Start,5
Marqui Christian,Illegal Block Above the Waist,10
Jared Goff,Delay of Game,5
Laquon Treadwell,Offensive Holding,10
Alec Ogletree,Defensive Holding,5
Aaron Donald,Roughing the Passer,15
Tyrunn Walker,Defensive Offside,5
Adam Thielen,Illegal Block Above the Waist,10
Aaron Donald,Defensive Offside ,-1
