player_name,pen,yds
Julio Jones,Illegal Formation,5
Wes Schweitzer,False Start,5
Matt Kalil,Illegal Use of Hands ,-1
Brian Poole,Offensive Holding,10
Wes Schweitzer,Offensive Holding,10
Mario Addison,Illegal Use of Hands,5
Andrew Norwell,Offensive Holding ,-1
Star Lotulelei,Neutral Zone Infraction,5
Austin Hooper,Illegal Crackback,15
Brian Poole,Unnecessary Roughness,15
Takkarist McKinley,Neutral Zone Infraction,5
Deion Jones,Defensive Holding,5
Alex Armah,Illegal Formation,5
Kevon Seymour,Offensive Holding,9
