player_name,pen,yds
Brandon Williams,Illegal Block Above the Waist,8
Eddie Pleasant,Offensive Holding,10
Jeremiah George,Horse Collar Tackle,15
DeAndre Hopkins,Offensive Pass Interference,10
Henry Anderson,Roughing the Passer,15
Breno Giacomini,False Start,5
Julie'n Davenport,Offensive Holding,3
Angelo Blackson,Encroachment,5
Kyle Kalis,Illegal Use of Hands,10
Kyle Kalis,Offensive Holding,10
Chris Clark,Offensive Holding ,-1
Marcus Williams,Defensive Pass Interference,36
T.Y. Hilton,Offensive Pass Interference,10
Johnathan Joseph,Defensive Holding,5
Jonathan Bostic,Defensive Holding ,-1
