player_name,pen,yds
Richie Incognito,Offensive Holding,10
Mike Pennel,Defensive Holding,3
Darron Lee,Unnecessary Roughness,15
Charles Clay,False Start,5
Eric Tomlinson,Offensive Holding,10
Matt Milano,Illegal Block Above the Waist,10
Jordan Mills,Offensive Holding,10
Adolphus Washington,Defensive Holding,5
Morris Claiborne,Defensive Pass Interference,24
ArDarius Stewart,Offensive Pass Interference ,-1
Kelvin Beachum,Offensive Holding ,-1
Brian Winters,Illegal Use of Hands,10
Richie Incognito,Offensive Holding,10
