player_name,pen,yds
Robby Anderson,Offensive Pass Interference,10
Tenny Palepoi,Neutral Zone Infraction,5
Neal Sterling,Offensive Holding,10
Jeff Cumberland,Offensive Holding,10
Rayshawn Jenkins,Unnecessary Roughness,7
Buster Skrine,Defensive Pass Interference,4
Derrick Jones,Offensive Holding ,-1
Chris McCain,Unnecessary Roughness,15
Joe Barksdale,False Start,5
Desmond King,Defensive Offside ,-1
Nick Dzubnar,Offensive Holding,10
Philip Rivers,Intentional Grounding,13
Brent Qvale,Ineligible Downfield Pass,5
Joey Bosa,Roughing the Passer,15
Xavier Cooper,Defensive Offside,5
