player_name,pen,yds
Keith Smith,Illegal Block Above the Waist,10
Shaquill Griffin,Defensive Holding,5
Geoff Swaim,Illegal Crackback,15
Kyle Wilber,Unsportsmanlike Conduct,15
Demarcus Lawrence,Defensive Offside ,-1
Michael Bennett,Defensive Offside,5
Justin Coleman,Unsportsmanlike Conduct,15
Justin Coleman,Defensive Pass Interference,43
SEA,Defensive ,-1
Jeremy Lane,False Start,5
Michael Bennett,Neutral Zone Infraction,5
Chidobe Awuzie,Face Mask ,-1
Chidobe Awuzie,Defensive Pass Interference,5
Byron Maxwell,Defensive Pass Interference,29
Jason Witten,Offensive Holding,10
Justin Britt,Offensive Holding,10
Jeremy Lane,Unnecessary Roughness,15
Michael Bennett,Defensive Offside,5
