player_name,pen,yds
Mike Evans,False Start,5
Robert Ayers,Defensive Offside,5
Chris Conte,Defensive Offside ,-1
Donovan Smith,Offensive Holding,10
Adrian Peterson,Taunting ,-1
Robert McClain,Defensive Pass Interference,5
Earl Watford,Offensive Holding,10
William Gholston,Neutral Zone Infraction,5
Jermaine Gresham,Offensive Holding,10
Jermaine Gresham,Face Mask ,-1
Chris Baker,Defensive Offside ,-1
Justin Bethel,Offside on Free Kick,5
Rodney Gunter,Defensive Offside,5
Ryan Fitzpatrick,Delay of Game,5
Haason Reddick,Roughing the Passer,6
Donovan Smith,False Start,5
