player_name,pen,yds
Timmy Jernigan,Defensive Offside,5
Ereck Flowers,Offensive Holding,10
Derek Barnett,Defensive Offside ,-1
Jalen Mills,Defensive Holding,4
Jason Pierre-Paul,Illegal Use of Hands,5
Darian Thompson,Defensive Pass Interference,32
Jalen Mills,Defensive Holding,5
Nigel Bradham,Unnecessary Roughness,15
Eli Apple,Defensive Holding ,-1
Nick Foles,Delay of Game,5
Najee Goode,Neutral Zone Infraction,5
Ross Cockrell,Defensive Holding ,-1
Ronald Darby,Illegal Contact,5
Ronald Darby,Defensive Holding ,-1
Bobby Hart,False Start,5
Sterling Shepard,Unsportsmanlike Conduct,15
