player_name,pen,yds
Gabe Jackson,Disqualification,13
Allen Barbre,Offensive Holding,10
Shane Ray,Roughing the Passer,15
Paxton Lynch,Delay of Game,5
Allen Barbre,Offensive Holding ,-1
Zaire Anderson,Face Mask ,-1
Marshall Newhouse,False Start,5
Todd Davis,Illegal Use of Hands,5
Darian Stewart,Unnecessary Roughness,12
Brendan Langley,Defensive Pass Interference,3
Von Miller,Defensive Offside,5
Johnny Holton,Offensive Holding,10
Brendan Langley,Running Into the Kicker,5
Cory James,Illegal Block Above the Waist,10
Lee Smith,Offensive Holding,10
Jon Feliciano,False Start,5
Marshall Newhouse,Illegal Formation ,-1
Nicholas Morrow,Defensive Pass Interference,15
