player_name,pen,yds
Karlos Dansby,Neutral Zone Infraction,5
Ifeanyi Momah,Offensive Holding,10
Brandon Graham,Face Mask ,-1
Derek Barnett,Defensive Offside ,-1
Brandon Brooks,Offensive Holding,10
Ricky Seals-Jones,Offensive Holding,10
Derek Barnett,Roughing the Passer,15
LeGarrette Blount,Offensive Holding,10
Evan Boehm,Offensive Holding ,-1
A.Q. Shipley,Tripping,10
Jared Veldheer,False Start,5
Deone Bucannon,Defensive Pass Interference,16
Xavier Williams,Neutral Zone Infraction,5
Chance Warmack,Offensive Holding,10
