player_name,pen,yds
T.Y. Hilton,False Start,5
Marquise Goodwin,Offensive Holding,10
Laken Tomlinson,False Start,5
Arik Armstead,Neutral Zone Infraction,5
Asa Jackson,Offensive Holding,10
T.Y. Hilton,Illegal Block Above the Waist,10
Frank Gore,False Start,5
Aaron Lynch,Neutral Zone Infraction,4
Aaron Lynch,Roughing the Passer,13
Brian Hoyer,Intentional Grounding,10
Darrell Daniels,Illegal Formation,5
Donte Moncrief,Offensive Holding,10
Grover Stewart,Illegal Use of Hands ,-1
Frank Gore,False Start,5
Trenton Brown,False Start,5
Rashard Robinson,Defensive Holding,5
Pierre Desir,Defensive Pass Interference,22
Laken Tomlinson,Offensive Holding,10
