player_name,pen,yds
Michael Schofield,False Start,5
Darius Philon,Defensive ,-1
Keenan Allen,Offensive Pass Interference,7
Jonathan Jones,Illegal Block Above the Waist,10
Joe Thuney,Offensive Holding,10
Kyle Emanuel,Offensive Holding ,-1
Jahleel Addae,Defensive Pass Interference,17
Tenny Palepoi,Offside on Free Kick,5
Tyrell Williams,Illegal Touch Pass,-1
Tyrell Williams,Offensive Pass Interference,10
Nate Solder,Illegal Block Above the Waist,10
Johnson Bademosi,Defensive Pass Interference,30
Rayshawn Jenkins,Illegal Block Above the Waist,9
Hayes Pullard,Face Mask ,-1
Joe Thuney,Clipping,15
Adrian Phillips,Defensive Holding ,-1
Joey Bosa,Neutral Zone Infraction,4
Deatrich Wise Jr.,Neutral Zone Infraction,5
