player_name,pen,yds
Matt Tobin,Offensive Holding,8
Richard Sherman,Defensive Holding ,-1
Jeremy Lane,Defensive Pass Interference,22
Chris Thompson,Unsportsmanlike Conduct,15
Marcus Williams,Offensive Holding,10
Michael Wilhoite,Offensive Holding,10
Zach Cunningham,Roughing the Passer,15
Germain Ifedi,Offensive Holding,10
Germain Ifedi,Unnecessary Roughness,15
Jarran Reed,Illegal Use of Hands ,-1
Ryan Griffin,Offensive Holding ,-1
Nick Martin,Offensive Holding,10
Duane Brown,Unnecessary Roughness,8
Lamarr Houston,Roughing the Passer,4
Russell Wilson,False Start,5
Ben Heeney,Offensive Holding ,-1
Thomas Rawls,Chop Block,15
Kareem Jackson,Defensive Pass Interference,21
Nazair Jones,Roughing the Passer,15
Rees Odhiambo,False Start,5
