player_name,pen,yds
Cre'von LeBlanc,Low Block,15
Kyle Fuller,Defensive Pass Interference,10
Bryce Callahan,Illegal Contact ,-1
PIT,Illegal Shift,5
Cameron Heyward,Roughing the Passer,15
Adam Shaheen,Illegal Block Above the Waist,10
PIT,Illegal Formation,5
Kendall Wright,Illegal Motion,5
Antonio Brown,False Start,5
Jordan Berry,Illegal Bat,-1
Charles Leno,False Start,4
David DeCastro,Offensive Holding ,-1
Marcus Cooper,Defensive Holding ,-1
Charles Leno,Offensive Holding,10
John Timu,False Start ,-1
Bradley Sowell,False Start,5
Bradley Sowell,False Start,5
Chris Hubbard,Offensive Holding,10
Roy Robertson-Harris,Offensive Holding,9
