player_name,pen,yds
Trumaine Johnson,Illegal Use of Hands ,-1
Michael Brockers,Illegal Formation ,-1
Quinton Dunbar,Face Mask ,-1
Alec Ogletree,Defensive Offside,5
Zach Brown,Neutral Zone Infraction ,-1
Brandon Scherff,Ineligible Downfield Pass ,-1
Josh Norman,Defensive Holding,5
Rob Havenstein,Illegal Use of Hands ,-1
Martrell Spaight,Offensive Holding,10
Nickell Robey-Coleman,Defensive Pass Interference,25
John Johnson,Offensive Holding,10
Robert Woods,Unnecessary Roughness,15
Rodger Saffold,False Start,5
Robert Woods,Offensive Pass Interference,10
Rob Havenstein,Offensive Holding ,-1
Samson Ebukam,Offside on Free Kick,5
Trent Williams,Offensive Holding,10
