player_name,pen,yds
Davon Godchaux,Encroachment,5
Davon Godchaux,Neutral Zone Infraction,5
Josh McCown,False Start,5
Ja'Wuan James,False Start,5
Laremy Tunsil,False Start,5
Morris Claiborne,Defensive Holding,5
Kenny Stills,Illegal Block Above the Waist,10
Jermaine Kearse,Offensive Pass Interference,10
James Carpenter,Offensive Holding ,-1
James Carpenter,Offensive Holding,10
Morris Claiborne,Illegal Block Above the Waist ,-1
Wesley Johnson,Offensive Holding,10
William Hayes,Illegal Formation,5
Xavien Howard,Defensive Pass Interference,11
Darron Lee,Roughing the Passer,15
Mike Hull,Illegal Forward Pass,5
Jamal Adams,Taunting,15
NYJ,Illegal Substitution,4
Juston Burris,Defensive Holding ,-1
