player_name,pen,yds
Terrance Williams,Offensive Pass Interference,10
Maliek Collins,Neutral Zone Infraction,5
Isaac Whitney,Illegal Formation ,-1
Johnny Holton,Illegal Block Above the Waist,10
Sean Smith,Defensive Pass Interference,3
Jon Feliciano,Offensive Holding,10
Kelechi Osemele,Offensive Holding,5
Jalen Richard,False Start,2
Denico Autry,Defensive Holding,5
Richard Ash,Defensive Offside,5
Jared Cook,Offensive Pass Interference,10
Xavier Woodson-Luster,Offensive Holding,10
Vadal Alexander,False Start,5
NaVorro Bowman,Defensive Pass Interference,5
Rod Smith,Offensive Holding,10
Jared Cook,False Start,5
Chidobe Awuzie,Illegal Contact,5
Byron Bell,Offensive Holding,10
Shilique Calhoun,Offensive Holding,10
James Cowser,Offensive Holding,10
Jourdan Lewis,Defensive Pass Interference,55
Marshawn Lynch,Unsportsmanlike Conduct,15
