player_name,pen,yds
Cameron Erving,Offensive Holding,8
Phillip Gaines,Defensive Holding,5
JuJu Smith-Schuster,Offensive Holding,10
Le'Veon Bell,Unsportsmanlike Conduct,15
Cameron Erving,False Start,5
Kareem Hunt,False Start,5
Alex Smith,Intentional Grounding ,-1
Akeem Hunt,Illegal Formation,5
Jordan Berry,Delay of Game,5
B.J. Finney,Offensive Holding,10
Jordan Berry,Delay of Game,5
Kenneth Acker,Offensive Holding,10
Mike Mitchell,Roughing the Passer,12
Demetrius Harris,Offensive Holding,10
