player_name,pen,yds
Jadeveon Clowney,Neutral Zone Infraction,5
Kevin Johnson,Defensive Holding,5
Brian Cushing,Defensive Offside ,-1
Barkevious Mingo,Defensive Offside,5
Quincy Wilson,Defensive Pass Interference,5
Brandon Dunn,Neutral Zone Infraction,5
Hassan Ridgeway,Defensive Holding,5
Johnathan Joseph,Unsportsmanlike Conduct ,-1
Kareem Jackson,Defensive Holding,5
Chad Slade,Offensive Holding ,-1
Kurtis Drummond,Offside on Free Kick,5
Kareem Jackson,Defensive Holding,5
Joe Haeg,False Start,5
Johnathan Joseph,Defensive Offside,4
