player_name,pen,yds
Daryl Worley,Illegal Use of Hands,5
Demario Davis,Roughing the Passer,15
Chris Manhertz,Illegal Use of Hands,10
Chad Hansen,Illegal Block Above the Waist,10
Julius Peppers,Encroachment,5
Julius Peppers,Encroachment,5
Matt Kalil,Offensive Holding,10
Matt Kalil,False Start,5
Brian Winters,Offensive Holding,10
Wesley Johnson,Offensive Holding,11
Mario Addison,Defensive Offside,5
Vernon Butler,Unnecessary Roughness,15
Jordan Jenkins,Defensive Offside,5
NYJ,Defensive ,-1
Kevon Seymour,Defensive Pass Interference,12
Daryl Worley,Defensive Pass Interference,12
Mike Pennel,Roughing the Passer,14
