player_name,pen,yds
Germain Ifedi,Unsportsmanlike Conduct,13
Peyton Thompson,Illegal Block Above the Waist ,-1
Byron Maxwell,Defensive Holding ,-1
Luke Joeckel,Ineligible Downfield Pass,5
Tyler Patmon,Illegal Block Above the Waist ,-1
Dante Fowler,Illegal Use of Hands,5
Dante Fowler,Illegal Use of Hands,5
Russell Wilson,Intentional Grounding,10
Jimmy Graham,Unnecessary Roughness,15
Brandon Linder,Offensive Holding,10
Germain Ifedi,Offensive Holding ,-1
Ethan Pocic,Face Mask ,-1
Cam Robinson,False Start,1
Cam Robinson,False Start,5
SEA,Illegal Formation ,-1
Sheldon Richardson,Disqualification ,-1
SEA,Unsportsmanlike Conduct ,-1
