player_name,pen,yds
Larry Warford,False Start,5
Linval Joseph,Face Mask ,-1
Andrus Peat,Offensive Holding,10
Marcus Williams,Unnecessary Roughness,15
Alex Anzalone,Unnecessary Roughness,15
Mike Remmers,Offensive Holding,10
Tom Johnson,Roughing the Passer,15
Everson Griffen,Defensive Offside,5
Kenny Vaccaro,Unnecessary Roughness,2
Nick Easton,False Start,5
De'Vante Harris,Defensive Pass Interference ,-1
Senio Kelemete,Offensive Holding ,-1
Trae Waynes,Defensive Pass Interference ,-1
Alex Okafor,Illegal Use of Hands,5
Xavier Rhodes,Defensive Holding ,-1
