player_name,pen,yds
Quandre Diggs,Low Block,10
Darius Slay,Defensive Holding,5
Blake Martinez,Defensive Holding,5
Taylor Decker,Offensive Holding ,-1
Quandre Diggs,Unnecessary Roughness,15
Lucas Patrick,False Start,5
Jalen Reeves-Maybin,Illegal Block Above the Waist,10
Mike Daniels,Leverage,15
Brett Hundley,Intentional Grounding,13
Lenzy Pipkins,Defensive Holding,5
Jamal Agnew,Defensive Pass Interference,22
Michael Clark,Illegal Formation,5
Marwin Evans,Unnecessary Roughness,15
Ahmad Brooks,Defensive Offside,5
