player_name,pen,yds
NYJ,Illegal Substitution,5
Jordan Jenkins,Illegal Use of Hands,5
David Bass,Face Mask ,-1
Sheldon Rankins,Encroachment,5
Kenny Vaccaro,Defensive Pass Interference,15
Michael Thomas,Offensive Holding,10
NYJ,Offensive ,-1
Justin Hardee,Offensive Holding,10
Steve McLendon,Encroachment,5
Brent Qvale,Illegal Formation,5
Ken Crawley,Unnecessary Roughness,15
Mike Pennel,Unnecessary Roughness,2
Rontez Miles,Illegal Block Above the Waist,8
Bryce Petty,Illegal Forward Pass ,-1
Senio Kelemete,Offensive Holding,10
Michael Thomas,Illegal Motion,5
Kenny Vaccaro,Defensive Pass Interference,22
