player_name,pen,yds
Germain Ifedi,False Start,5
Justin Bethel,Offensive Holding,4
Earl Watford,Offensive Holding,8
Josh Mauro,Defensive Offside ,-1
Jermaine Gresham,False Start,5
Michael Bennett,Face Mask ,-1
Shaquill Griffin,Defensive Pass Interference,6
Justin Coleman,Illegal Use of Hands,5
Sheldon Richardson,Roughing the Passer,15
Luke Willson,Clipping,15
Justin Bethel,Offensive Holding,1
Terence Garvin,Offensive Holding,10
Chandler Jones,Defensive Offside,5
Ethan Pocic,Offensive Holding,10
Justin Coleman,Illegal Use of Hands,5
Jeremy Lane,Defensive Pass Interference,7
Karlos Dansby,Roughing the Passer,15
Kareem Martin,Offensive Holding,10
Jared Veldheer,False Start,5
Matt Tobin,False Start,5
Oday Aboushi,Offensive Holding,10
Michael Bennett,Defensive Offside ,-1
Patrick Peterson,Offside on Free Kick,5
