player_name,pen,yds
David Morgan,Offensive Holding,10
Andre Smith,False Start,5
Tom Johnson,Encroachment,5
Nick Easton,False Start,5
Nick Easton,Illegal Use of Hands,10
Vincent Rey,Defensive Pass Interference,6
Jarius Wright,Offensive Holding,10
Mike Remmers,False Start,5
Ben Gedeon,Illegal Block Above the Waist,10
Rashod Hill,Offensive Holding,10
Andy Dalton,Delay of Game,5
Shawn Williams,Face Mask ,-1
Darqueze Dennard,Defensive Pass Interference,13
Tramaine Brock,Offensive Holding,10
Tramaine Brock,Illegal Use of Hands,3
Jayron Kearse,Taunting,15
