player_name,pen,yds
Laremy Tunsil,False Start,5
Melvin Ingram,Defensive Offside ,-1
Joey Bosa,Unnecessary Roughness,15
Tyrell Williams,False Start,5
Philip Rivers,Delay of Game,5
Reshad Jones,Defensive Pass Interference,3
Jordan Phillips,Defensive Offside ,-1
Davon Godchaux,Defensive Offside ,-1
Tre Boston,Unnecessary Roughness,15
Chris Hairston,Offensive Holding,10
Adrian Phillips,Defensive Holding ,-1
Jermon Bushrod,Offensive Holding,10
Darius Philon,Offensive Holding,6
Bobby McCain,Illegal Use of Hands,5
