player_name,pen,yds
Clay Matthews,Neutral Zone Infraction,5
Kenny Clark,Neutral Zone Infraction,5
Andrew Norwell,Illegal Use of Hands ,-1
Justin Vogel,Delay of Game ,-1
Chris Manhertz,Illegal Block Above the Waist ,-1
Mike Daniels,Neutral Zone Infraction,5
Russell Shepard,Illegal Block Above the Waist,10
Thomas Davis,Illegal Blindside Block,15
Jermaine Whitehead,Defensive Pass Interference,3
Daryl Worley,Defensive Holding ,-1
Vince Biegel,Neutral Zone Infraction,5
CAR,Illegal Formation,5
Luke Kuechly,Defensive Holding,5
Richard Rodgers,False Start,5
James Bradberry,Defensive Holding,5
