player_name,pen,yds
Kenny Stills,False Start,5
Kenyan Drake,False Start,5
Jordan Phillips,Illegal Use of Hands,5
Darron Lee,Roughing the Passer,15
Mike Pouncey,Offensive Holding,10
Buster Skrine,Defensive Pass Interference,28
Mike Pouncey,Illegal Block Above the Waist,10
Darron Lee,Face Mask ,-1
Austin Seferian-Jenkins,Offensive Holding,10
Morris Claiborne,Defensive Holding,5
Leonte Carroo,Illegal Block Above the Waist,10
Ja'Wuan James,Illegal Formation ,-1
Ndamukong Suh,Illegal Use of Hands ,-1
Brian Winters,Offensive Holding,10
Wesley Johnson,Unnecessary Roughness,15
Ndamukong Suh,Face Mask ,-1
Brent Qvale,False Start,5
James Carpenter,False Start,5
Buster Skrine,Defensive Holding,5
Leonte Carroo,Offensive Pass Interference,10
Buster Skrine,Defensive Holding,3
NYJ,Illegal Motion ,-1
William Hayes,Illegal Block Above the Waist,10
Brent Qvale,Offensive Holding ,-1
