player_name,pen,yds
Desmond Trufant,Defensive Holding ,-1
Vic Beasley,Defensive Offside,5
Brice Butler,Offensive Pass Interference,10
Eric Saubert,Neutral Zone Infraction,5
Damien Wilson,Defensive Holding ,-1
Jonathan Cooper,Offensive Holding,10
ATL,Illegal Formation ,-1
Jeff Heath,Face Mask ,-1
Anthony Brown,Defensive Pass Interference,9
Chaz Green,Offensive Holding,10
Levine Toilolo,Illegal Block Above the Waist,10
LaRoy Reynolds,Offside on Free Kick,5
Kavon Frazier,Defensive Holding ,-1
Byron Bell,Offensive Holding ,-1
Mohamed Sanu,Offensive Holding,10
