player_name,pen,yds
Trumaine Johnson,Illegal Contact ,-1
Aaron Donald,Defensive Offside,5
Jonathan Cooper,Offensive Holding ,-1
Demarcus Lawrence,Encroachment,5
Kayvon Webster,Defensive Holding,3
Bene Benwikere,Illegal Block Above the Waist ,-1
Cory Littleton,Illegal Block Above the Waist,8
Marqui Christian,Illegal Block Above the Waist,10
Jamon Brown,False Start,5
Orlando Scandrick,Defensive Pass Interference,25
Travis Frederick,Offensive Holding,10
Kayvon Webster,Defensive Holding,5
Tyler Higbee,False Start,5
