player_name,pen,yds
Kenny Britt,False Start,5
Tyler Kroft,Offensive Holding,10
William Jackson,Defensive Pass Interference,10
Jason McCourty,Horse Collar Tackle,4
William Jackson,Illegal Block Above the Waist ,-1
James Burgess,Offensive Holding,10
Carl Nassib,Defensive Offside ,-1
Christian Kirksey,Defensive Pass Interference,9
Chris Smith,Encroachment,5
Vontaze Burfict,Roughing the Passer,15
Josh Shaw,Illegal Block Above the Waist,10
William Jackson,Defensive Pass Interference,1
Nick Vigil,Defensive Pass Interference ,-1
