player_name,pen,yds
Jason Kelce,False Start,5
Nigel Bradham,Face Mask ,-1
Patrick Robinson,Offensive Holding,10
LeGarrette Blount,Taunting,15
Evan Engram,Illegal Shift ,-1
Jason Pierre-Paul,Neutral Zone Infraction,5
Derek Barnett,Neutral Zone Infraction,5
Evan Engram,False Start,5
Lane Johnson,False Start,5
Eli Apple,Defensive Pass Interference,41
Elijah Qualls,Defensive Offside,5
Odell Beckham,Unsportsmanlike Conduct,15
Alshon Jeffery,Offensive Pass Interference ,-1
Dwayne Harris,Invalid Fair Catch Signal,5
Eli Apple,Defensive Pass Interference,36
Odell Beckham,Offensive Pass Interference,10
Malcolm Jenkins,Defensive Pass Interference,28
John Jerry,Delay of Game,5
Alshon Jeffery,Face Mask ,-1
Ereck Flowers,Illegal Shift,5
Ereck Flowers,Offensive Holding,10
