player_name,pen,yds
Vinny Curry,Defensive Offside,5
Melvin Ingram,Defensive Offside,5
Russell Okung,Offensive Holding ,-1
Najee Goode,Offensive Holding,8
Darius Philon,Illegal Use of Hands,5
Joe Barksdale,False Start,5
Jason Kelce,False Start,5
Drew Kaser,Delay of Game,5
Drew Kaser,Delay of Game,5
Joey Bosa,Defensive Offside,5
Brandon Graham,Neutral Zone Infraction,5
Chris Long,Defensive Offside,5
Spencer Pulley,False Start,5
Philip Rivers,Delay of Game,5
Lane Johnson,Offensive Holding,10
Brandon Graham,Defensive Holding,5
Rasul Douglas,Defensive Pass Interference,10
Darius Philon,Defensive Offside,1
Darius Philon,Illegal Use of Hands,3
Jalen Mills,Defensive Holding ,-1
