player_name,pen,yds
Brandon Carr,Defensive Pass Interference,17
Nick Boyle,Offensive Pass Interference ,-1
Brandon Bell,Illegal Block Above the Waist,10
Alex Redmond,Offensive Holding ,-1
Trey Hopkins,Offensive Holding ,-1
Alex Redmond,Offensive Holding,10
James Hurst,Offensive Holding ,-1
Shawn Williams,Unnecessary Roughness,15
Maxx Williams,False Start,5
Brian Hill,Unnecessary Roughness,15
Carlos Dunlap,Defensive ,-1
Vince Mayle,Offensive Holding,10
Brandon Carr,Defensive Pass Interference,10
Marlon Humphrey,Defensive Holding,5
A.J. Green,Illegal Shift,5
