player_name,pen,yds
Derek Carr,Delay of Game,5
Marshall Newhouse,False Start,5
Zach Ertz,Offensive Holding,10
T.J. Carrie,Defensive Holding,5
Chance Warmack,Offensive Holding,10
Chris Long,Defensive Offside,5
Gabe Jackson,Offensive Holding,10
Rodney Hudson,Illegal Block Above the Waist,10
Lane Johnson,False Start,5
Nicholas Morrow,Defensive Pass Interference ,-1
Lane Johnson,Offensive Holding,10
Fletcher Cox,Defensive Holding,5
Lane Johnson,Offensive Holding,10
Lee Smith,Illegal Crackback ,-1
Ronald Darby,Illegal Contact,5
Lee Smith,Offensive Holding,10
