player_name,pen,yds
Curtis Samuel,Illegal Block Above the Waist,10
Curtis Samuel,False Start,5
Ndamukong Suh,Neutral Zone Infraction,5
Daryl Worley,Unnecessary Roughness,2
Trai Turner,Offensive Holding,10
Julius Thomas,Unsportsmanlike Conduct,15
Andre Branch,Defensive Offside ,-1
Maurice Smith,Offensive Holding,10
Xavien Howard,Defensive Pass Interference,12
Mike Pouncey,False Start,5
Laremy Tunsil,Illegal Formation,5
Cameron Wake,Neutral Zone Infraction,5
Kurt Coleman,Defensive Holding,5
Trai Turner,False Start,5
