player_name,pen,yds
Jarrod Wilson,Illegal Block Above the Waist,10
Jack Conklin,False Start,5
Marcedes Lewis,Illegal Use of Hands,10
Logan Ryan,Unnecessary Roughness,15
Jermey Parnell,Offensive Holding ,-1
Jack Conklin,Offensive Holding,10
Taylor Lewan,Illegal Use of Hands,10
Dante Fowler,Defensive Offside,5
Jack Conklin,Illegal Block Above the Waist,10
James O'Shaughnessy,Offensive Holding,10
Paul Posluszny,Offensive Holding,9
Allen Hurns,Offensive Pass Interference,10
Jalen Ramsey,Unnecessary Roughness,15
Cam Robinson,Illegal Use of Hands,10
Daren Bates,Offensive Holding,10
Dawuane Smoot,Defensive Offside,5
Ben Jones,Offensive Holding,10
