player_name,pen,yds
Jason Pierre-Paul,Defensive Offside,5
Marcus Peters,Defensive Pass Interference,12
Kenneth Acker,Offensive Holding,10
Laurent Duvernay-Tardif,Ineligible Downfield Pass,5
Zach Fulton,Offensive Holding,10
Terrance Smith,Unnecessary Roughness,15
Justin Houston,Neutral Zone Infraction,5
Evan Engram,Offensive Pass Interference,10
Evan Engram,Offensive Holding,10
John Jerry,Unnecessary Roughness,15
Demarcus Robinson,Unnecessary Roughness,15
Janoris Jenkins,Defensive Pass Interference,8
Laurent Duvernay-Tardif,Offensive Holding,10
Bennie Logan,Encroachment,5
Phillip Gaines,Defensive Pass Interference ,-1
