player_name,pen,yds
Denico Autry,Roughing the Passer,15
Eric Murray,Illegal Contact,5
Lee Smith,Unnecessary Roughness,15
Gabe Jackson,Offensive Holding,10
Marshawn Lynch,Disqualification,15
Eric Fisher,Offensive Holding,10
Justin Houston,Face Mask ,-1
Marcus Peters,Defensive Pass Interference,47
Giorgio Tavecchio,False Start,5
Khalil Mack,Defensive Offside,5
Johnny Holton,Illegal Motion,5
Eric Murray,Offensive Holding,9
Jamize Olawale,Offensive Holding,8
Johnny Holton,Offensive Pass Interference,10
Michael Crabtree,Offensive Pass Interference,9
Ron Parker,Defensive Holding,5
Eric Murray,Defensive Holding,3
