player_name,pen,yds
Preston Brown,Defensive Pass Interference,1
Nick O'Leary,Tripping,10
Ramon Humber,Neutral Zone Infraction,5
Lorenzo Alexander,Face Mask ,-1
Ted Ginn,Offensive Pass Interference,10
Michael Hoomanawanui,Offensive Pass Interference,10
Jerel Worthy,Defensive Offside,5
Alex Okafor,Roughing the Passer ,-1
Jordan Poyer,Illegal Use of Hands ,-1
Richie Incognito,Offensive Holding,10
De'Vante Harris,Unnecessary Roughness,6
Adolphus Washington,Neutral Zone Infraction,5
Andrus Peat,Offensive Holding ,-1
Rafael Bush,Unnecessary Roughness,15
Lorenzo Alexander,Offside on Free Kick,5
