player_name,pen,yds
Joe Barksdale,False Start,5
Jeff Cumberland,False Start,5
Byron Jones,Unnecessary Roughness,13
Casey Hayward,Illegal Use of Hands,5
Anthony Brown,Defensive Pass Interference,4
Terrance Williams,Offensive Pass Interference,10
Tyron Smith,Offensive Holding,10
Maliek Collins,Defensive Offside ,-1
La'el Collins,Offensive Holding,10
Corey Liuget,Defensive Offside ,-1
Jourdan Lewis,Defensive Pass Interference,10
Philip Rivers,Delay of Game,5
Richard Ash,Encroachment,3
