player_name,pen,yds
Damien Williams,Unnecessary Roughness,15
Rashawn Scott,Offensive Holding,9
T.J. Ward,Taunting,15
Jermon Bushrod,False Start,5
Ted Larsen,Face Mask ,-1
Laremy Tunsil,Offensive Holding,10
Ali Marpet,Illegal Block Above the Waist ,-1
Jermon Bushrod,Offensive Holding,10
Peyton Barber,Illegal Blindside Block ,-1
Ali Marpet,Illegal Block Above the Waist,10
Kiko Alonso,Unnecessary Roughness,4
Laremy Tunsil,False Start,5
Robert McClain,Defensive Pass Interference,18
Anthony Fasano,Offensive Pass Interference,10
Mike Pouncey,False Start,5
Devante Bond,Offensive Holding,10
Sam Young,False Start,5
Laremy Tunsil,False Start,5
Alterraun Verner,Offensive Holding,5
Kenny Stills,Offensive Holding,10
Robert Ayers,Offensive Holding,1
Ryan Fitzpatrick,Delay of Game,1
Donovan Smith,Illegal Use of Hands ,-1
Michael Thomas,Offensive Holding,10
Ndamukong Suh,Defensive Holding,5
