player_name,pen,yds
Wesley Woodyard,Defensive Pass Interference,8
Taylor Lewan,False Start,5
Nick Martin,Offensive Holding,10
Jayon Brown,Illegal Block Above the Waist,10
Jadeveon Clowney,Defensive Offside,5
Erik Walden,Tripping,10
Jadeveon Clowney,Defensive Offside,5
Kevin Johnson,Defensive Holding,5
Jadeveon Clowney,Defensive Offside,5
Taylor Lewan,Offensive Holding ,-1
Logan Ryan,Defensive Holding,5
Breno Giacomini,Unnecessary Roughness ,-1
Kevin Johnson,Defensive Pass Interference,20
Ben Jones,Illegal Block Above the Waist ,-1
Breno Giacomini,Offensive Holding,10
Jayon Brown,Defensive Pass Interference,10
Jeff Allen,Offensive Holding,10
Jeff Allen,False Start,5
Jeff Allen,False Start,5
Jeff Allen,False Start,5
Ben Jones,Taunting,15
