player_name,pen,yds
Germain Ifedi,Offensive Holding ,-1
LeShaun Sims,Offensive Holding ,-1
Delano Hill,Illegal Block Above the Waist,10
Michael Wilhoite,Offensive Holding,10
Cliff Avril,Defensive Offside,5
Richard Sherman,Unsportsmanlike Conduct,15
TEN,Illegal Shift ,-1
Eric Decker,Offensive Holding,10
Eric Decker,Offensive Pass Interference,10
Sheldon Richardson,Defensive Offside,5
Sheldon Richardson,Unnecessary Roughness ,-1
Germain Ifedi,False Start,5
David Fluellen,Illegal Block Above the Waist,10
Michael Bennett,Defensive Offside,5
Frank Clark,Defensive Offside ,-1
Jeremy Lane,Defensive Holding,5
Russell Wilson,Intentional Grounding,17
Josh Kline,False Start,5
SEA,Defensive ,-1
