player_name,pen,yds
Roy Robertson-Harris,Unnecessary Roughness,9
Trenton Brown,Offensive Holding,10
Marquise Goodwin,Offensive Pass Interference ,-1
Solomon Thomas,Defensive Offside,5
Charles Leno,Offensive Holding,10
Greg Mabin,Illegal Block Above the Waist,9
Kendrick Bourne,Illegal Block Above the Waist,9
George Kittle,False Start,5
Marquise Goodwin,False Start,5
Kendrick Bourne,Illegal Touch Pass,-1
Garrett Celek,Illegal Block Above the Waist,10
Ben Braunecker,Illegal Block Above the Waist,10
