player_name,pen,yds
DeShone Kizer,Delay of Game,5
Sammie Coates,False Start,5
Christian Kirksey,Unnecessary Roughness,4
Kenny Britt,Offensive Pass Interference,10
Seth Devalve,Illegal Formation ,-1
Jimmy Smith,Defensive Holding,5
Carl Davis,Defensive ,-1
David Njoku,Unnecessary Roughness,7
Shon Coleman,Offensive Holding ,-1
B.J. Bello,False Start,4
Patrick Onwuasor,Offensive Holding,10
Shon Coleman,False Start,5
Ibraheim Campbell,Defensive Offside,5
Matt Judon,Defensive Offside,5
DeShone Kizer,Delay of Game,5
Jimmy Smith,Illegal Use of Hands,5
Terrell Suggs,Neutral Zone Infraction,5
Carl Nassib,Encroachment,5
Tony Bergstrom,Offensive Holding,10
Shon Coleman,Offensive Holding,10
